RAID|KUID|HUID|Tittel|Navn|HUIDFar|HUIDMor|IDNR|FargeBeskrivelse|FargeVariant|AD|HD|Haarlag|IDMerk|Kjoenn|PEID|EndretAv|EndretDato|RegDato|Stoerrelse
306||&67/5700||RØIODDEN'S NINA|&60/1810|&64/6046|1016542|||||||T|||||
306||&67/5701||RØIODDEN'S BRUNO|||1016543|||||||H|||||
306||&67/5705||RØIODDENS TINTO|&60/1810|&64/6046|1016544|||||||H|||||
306||&63/7745||LORRY|&59/2745|&61/7990|1011423|||||||T|||||
306||&63/7742||PRINS|&59/2745|&61/7990|1011422|||||||H|||||
306||&63/4655||MIKE|||1011082|||||||H|||||
306||&63/5230||TOPSY|&59/932|&61/2702|1011143||||||||||||
306||&67/5706||RØIODDEN'S STEGG|&60/1810|&64/6046|1016545|||||||H|||||
306||&6341/71||BONSO|DK295172|&68/897|1011601||||A|||H|||||
306||&6339/71||BOYA|DK295172|&68/897|1011599||||A|||T|||||
306||&6343/71||BAJAS|DK295172|&68/897|1011607||||A|||H|||||
306||&6312/70||KING|DK246813|&65/4500|1011588||||A|||H|||||
306||&64/2502||RUNDHAUENS TICKI|&57/3924|&58/1415|1011847|||||||T|||||
306||&67/8584||DIXSI|&59/2745|&63/7745|1016999|||||||T|||||
306||&7982/69||SIR BALTAZAR|&61/543|&66/6281|1020064||||A|||H|||||
306||&7181/71||PEIK|DK205172|&67/5700|1019368||||A|||H|||||
306||&7700/71||VINNI|&6756/69|&2315/69|1019837|||||||T|||||
306||&65/4505||MILESTEN'S GRACE|||1013435|||||||T|||||
306||&65/4502||MILESTENS HEIKA|&63/4655|&62/3408|1013434||||A|||T|||||
306||&65/4500||MILESTENS RITA|||1013433|||||||T|||||
306||&8713/70||LØSTI|&64/3913|&67/5700|1020739||||A|||T|||||
306||&940/72||STEP|||1021324|||||||H|||||
306|402162|&8958/69||TRIXI|&66/6662|&65/3768|1020963|HVIT OG BRUN|||A|||T|3108722||||
306||&9530/72||PENNIE|&68/7845|&68/10609|1021424|HVIT/ORANGE|||A|||T|8101791||||
306||&8954/69||BASSE|||1020958|||||||H|||||
306||&8956/69||RANJA|&66/6662|&65/3768|1020959||||A|||T|||||
306||&9439/72||BESSI|&8954/69|&5701/69|1021356|||||||T|||||
306||&W150776030||GINGER OF RICHMONT|||1024771|||||||T|||||
306||&2246/71||LUDVIG|&68/10669|&68/2627|1003667|||||||H|||||
306||&2315/69||FLEUR|||1003733|||||||T|||||
306||&60/4193||LYTT|||1008860|||||||T|||||
306||&236707S||PAJTERSBORG ANIE|||1003772|||||||T|||||
306||&2489/71||TELL|DK295172|DK10146/69|1003901||||A|||H|||||
306||&248777T||BROTONS BELLA|BRET36481|BRET34499|1003897|||||||T|||||
306||&2486/71||KING|DK205172|DK10146/69|1003896||||E|||H|||||
306|400789|&2495/72||FREIKOLLEN'S TROYA|&68/9132|DK9952/68|1003907||||A|||T|||||
306||&284515|CH|BRETONS TOT|||1004227|||||||H|||||
306||&3060/70||CEBU|&62/627|&63/7745|1004416|||||||H|||||
306||&3064/72||KAISA|&68/10669|&68/2627|1004419|||||||T|||||
306||&61/2702||BUGGI|||1009301|||||||T|||||
